basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean
GB000364,42001,Wallington at North Fareham,GB,GB_NRFA,Wallington at North Fareham,-1.17,50.86,-1.17,50.86,3.7,111.67,111.755,0,-0.0761171308319098,1951-10-01,2021-09-30,71,835,25356,10894,212.0,0.0,25356.0,0.0,B,,1047,1,['GB000364'],0.484,0.233,1.223,3.679,0.477,121.723,22.738,0.026,1.925,20.397,2.061,116.924,10.583,0.0,2.077,1.859,0.895,-0.156,0.007,16.94,1.176,1.0,232.873,4.549,4.0,236.766,70.589,2.769,2.695,67.734,0.11,0.72,0.158,8,2.165,0.0,0.0,74.868,25.132,0.0,25.132,13.809,61.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91,0.0,41.09,0.0,0.0,0.0,0.0,0.0,0.0,101.25,130.0,30.0,53.532,36.857,39.125,24.018,6.839,1.384,1.172,0.14,0.638,0.10300000000000001,0.432,0.345,0.10600000000000001,0.0,0.7769999999999999,0.0,0.0,0.0,0.0,0.0,1.069,0.761,1.239,2.0
DETH2104,5751100000,Wasserthaleben,DE,DE_TH,Helbe,10.891,51.257,10.891,51.257,,374.3,372.0,0,0.6144803633449135,1961-11-01,2021-12-31,61,722,21976,21976,0.0,0.0,21976.0,0.0,B,,63,1,['DETH2104'],0.246,0.153,2.482,2.653,0.725,178.525,29.828,0.033,0.79,5.784,3.588,47.418,15.095,0.0,1.612,2.005,1.244,0.163,0.067,17.307,1.167,4.0,241.364,4.294,3.0,525.912,348.697,179.04,2.814,69.224,0.453,0.551,0.183,8,1.082,0.0,0.0,99.97,0.03,0.0,0.03,32.137,67.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664,88.839,3.497,0.0,0.0,0.0,0.0,0.0,0.0,7.664,128.421,130.0,30.0,57.494,27.5,36.216,36.284,4.105,1.308,1.164,0.133,0.518,0.034,0.744,0.023,0.195,0.0,0.767,0.0,0.0,0.0,0.0,0.0,6.386,11.702,0.0,30.0
FR001659,O345431001,O3454310,FR,FR_EAUFRANCE,La Muze à Montjaux [Saint-Hippolyte],2.921727,44.081683,2.921727,44.081683,330,112.0,110.858,0,1.0196428571428535,1968-01-05,2023-09-30,56,667,20222,16149,136.0,19367.0,205.0,650.0,A,,541,1,['FR001659'],1.015,0.434,1.722,3.716,0.58,140.943,26.727,0.047,3.616,9.199,3.426,101.936,20.654,0.0,2.37,2.302,0.971,-0.114,0.031,19.525,1.196,1.0,247.99,4.837,4.0,1117.894,778.781,335.217,11.133,7.654,26.863,0.546,0.171,2,1.0,5.503,43.005,47.98,3.513,0.0,3.513,27.019,20.961,43.005,0.0,0.0,0.0,0.0,0.0,5.503,0.0,0.0,0.0,0.0,13.571,23.971,62.458,0.0,0.0,0.0,0.0,0.0,0.0,80.45,130.0,30.0,55.917,39.216,41.018,19.766,10.063,1.409,0.69,0.163,0.651,0.007,0.154,0.354,0.374,0.11299999999999999,0.508,0.0,0.0,0.0,0.0,0.0,1.784,1.338,0.29,1.0
PL001181,153170070,SWORNEGACIE,PL,PL_IMGW,Zbrzyca (29236),17.50941833333333,53.88245055555556,17.50941833333333,53.88245055555556,,447.39,458.0,0,-2.371532667247818,1975-11-01,2022-10-31,48,564,17167,17167,0.0,0.0,17167.0,0.0,B,,23,3,"['PL001179', 'PL001180', 'PL001181']",0.88,0.609,0.198,0.538,0.926,168.217,11.593,0.566,1.236,,,,,0.0,1.441,1.86,1.29,0.318,0.086,18.355,1.192,4.0,251.95,4.484,3.0,234.161,157.895,118.099,2.244,74.972,0.008,0.613,0.164,11,25.852,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.938,0.0,0.0,6.062,0.0,0.0,0.0,93.938,0.0,0.0,130.0,130.0,130.0,34.938,73.211,14.056,12.733,3.553,1.561,1.418,0.124,0.547,0.007,0.123,0.125,0.685,0.009,0.248,0.0,0.0,26.0,20.99,100.22,10.485,3.087,0.542,4.0
FR004138,O152000101,L'Ambrone Ã  Caudeval,FR,FR_EAUFRANCE,L'Ambrone à Caudeval,1.959599,43.080284,1.959599,43.080284,,66.3,66.246,0,0.081447963800908,1973-01-01,2007-06-14,33,346,9560,3067,3023.0,7481.0,0.0,2079.0,E,,541,1,['FR004138'],0.547,0.281,1.192,6.622,0.402,171.154,27.94,0.0,2.426,53.145,7.815,174.946,36.055,0.082,1.931,2.54,1.315,-0.038,0.014,19.756,1.246,3.0,260.018,5.021,4.0,761.133,464.252,319.921,8.49,11.014,8.613,0.507,0.169,9,0.982,0.0,0.0,96.673,3.327,3.327,0.0,96.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,38.462,73.433,14.642,11.925,5.239,1.556,0.55,0.196,0.675,0.0,0.033,0.4,0.549,0.017,0.43300000000000005,0.0,0.0,0.0,0.0,0.0,0.561,0.0,0.0,3.0
FR000117,A343021001,A3430210,FR,FR_EAUFRANCE,La Zinsel du Sud à Eckartswiller [Oberhof],7.310495,48.799588,7.310495,48.799588,194,92.3,89.835,0,2.670639219934998,2006-07-06,2023-09-30,18,207,6295,6057,1.0,6049.0,0.0,246.0,A,,1,1,['FR000117'],0.838,0.395,1.713,1.948,0.625,139.438,24.617,0.236,2.644,6.006,1.789,0.059,1.0,0.0,2.238,2.138,0.955,0.019,0.032,16.763,1.16,1.0,224.669,4.072,3.0,409.745,295.532,189.745,7.181,32.963,15.036,0.69,0.076,8,1.025,0.0,0.0,63.083,36.917,0.0,36.917,0.0,63.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.204,39.565,23.231,0.0,0.0,0.0,0.0,0.0,37.204,0.0,111.111,130.0,50.0,44.872,52.467,25.156,22.378,10.144,1.455,1.178,0.191,0.651,0.075,0.193,0.273,0.429,0.031,0.466,0.0,0.0,0.0,0.0,0.0,2.925,0.084,0.05,3.0
DEBY0654,24220506,Nürnberger Land,DE,DE_BY,Pegnitz,11.55865802123219,49.70635962546005,11.55865802123219,49.70635962546006,397.49,96.6,96.291,0,0.3198757763975129,2001-01-01,2023-08-19,23,230,6264,5844,2002.0,0.0,6264.0,0.0,E,,1,1,['DEBY0654'],0.801,0.349,0.962,1.777,0.654,144.933,24.557,0.231,2.271,1.984,1.36,1.926,6.6,0.0,2.235,2.046,0.915,0.06,0.09,16.736,1.171,4.0,226.397,4.098,3.0,629.918,490.389,395.66,5.082,28.033,0.615,0.587,0.148,9,1.162,0.0,0.0,100.0,0.0,0.0,0.0,57.594,42.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,99.61600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.0,106.289,130.0,30.0,49.302,48.856,31.887,19.258,6.598,1.466,1.622,0.165,0.591,0.048,0.133,0.402,0.41700000000000004,0.0,0.535,0.0,0.0,0.0,0.0,0.0,7.717,0.0,0.0,15.0
FR002873,Y160503001,Y1605030,FR,FR_EAUFRANCE,La Cesse à la Livinière [Cantignergues],2.6512,43.37019,2.6512,43.37019,,0.0,52.478,4,-inf,1969-01-01,1983-12-31,15,180,5478,5478,0.0,5464.0,0.0,14.0,A,,752,2,"['FR002872', 'FR002873']",2.04,0.969,1.53,3.535,0.615,149.357,15.805,0.296,6.569,6.468,2.31,66.809,16.161,0.0,2.161,2.43,1.124,-0.275,0.013,19.144,1.299,1.0,260.807,5.188,4.0,1004.851,628.596,292.786,14.307,2.56,45.219,0.647,0.086,10,0.918,0.0,16.041,2.209,81.75,0.0,81.75,0.0,2.209,16.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,70.0,30.0,49.876,46.38,33.38,20.24,13.6,1.42,1.4,0.25,0.716,0.0,0.0,0.126,0.713,0.162,0.126,0.0,0.0,0.0,0.0,0.0,1.1,0.924,0.003,1.0
DERP1965,2377000800,Germersheim,DE,DE_RP,Queich,8.351,49.215,8.351,49.215,,267.52,270.0,5,-0.9270334928229734,1979-07-01,2021-12-31,43,507,15414,14794,111.0,0.0,15414.0,0.0,B,,1,2,"['DERP1965', 'DERP1966']",0.378,0.174,1.795,1.491,0.757,160.275,19.339,0.144,0.87,0.735,2.067,1.588,3.722,0.0,2.141,2.168,1.013,-0.002,0.032,17.13,1.173,1.0,230.411,4.239,3.0,631.488,299.498,104.723,11.525,24.063,37.169,0.429,0.19,10,7.668,0.0,0.427,6.844,92.729,20.277,72.452,5.998,0.846,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.756,0.0,21.243,0.0,0.0,0.0,16.96,0.0,61.796,0.0,123.773,130.0,30.0,52.571,48.15,34.044,17.806,7.168,1.447,1.68,0.209,0.661,0.081,0.017,0.227,0.668,0.001,0.244,0.0,0.0,0.0,0.0,0.0,2.676,0.56,2.126,15.0
FR002911,Y258002002,Y2584020,FR,FR_EAUFRANCE,L'Orb à Béziers [Béziers],3.208215,43.338453,3.208215,43.338453,12,1442.0,1494.68,0,-3.653259361997231,2006-10-20,2023-09-30,18,189,4657,1550,1533.0,480.0,0.0,4177.0,E,,754,28,"['FR004898', 'FR004899', 'FR004900', 'FR004901', 'FR004902', 'FR004903', 'FR004904', 'FR004905', 'FR004906', 'FR004907', 'FR004908', 'FR004909', 'FR004910', 'FR002895', 'FR002896', 'FR002897', 'FR002898', 'FR002899', 'FR002900', 'FR002901', 'FR002902', 'FR002903', 'FR002904', 'FR002905', 'FR002906', 'FR002907', 'FR002908', 'FR002909', 'FR002910', 'FR002911']",1.127,0.493,0.542,1.081,0.589,149.6,62.696,0.155,1.769,5.121,2.37,29.524,7.38,0.0,2.151,2.481,1.154,-0.241,0.009,19.906,1.331,1.0,266.998,5.511,4.0,1123.683,404.703,7.57,12.176,17.476,36.501,0.557,0.164,10,2.924,4.821,14.828,37.852,42.498999999999995,6.214,36.285,14.551,23.301,14.828,0.0,0.0,0.0,0.0,0.0,1.984,0.0,1.126,1.711,7.385,30.084999999999997,4.77,57.762,0.0,4.915,2.47,0.0,0.0,0.0,63.047,130.0,30.0,46.842,49.521,32.039,18.44,12.185,1.439,1.454,0.185,0.639,0.024,0.005,0.296,0.497,0.17,0.301,3.0,2.0,4.0,1.32,36.19,0.603,31.63,22.055,12.0
